CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,400250153202200001,202200001,2022-02-09,1839,153,3,2,6,39,5,83,2022-02-04 06:48:48,2022-02-04 12:28:48,2022-02-04 15:36:48,13.921666,75.604266,Complainant reported being defrauded of money through a fraudulent scheme reported from Bakshi Zila.
2,100270169202400001,202400001,2024-04-09,370,169,1,1,11,60,6,130,2024-04-03 18:04:19,2024-04-03 22:05:19,2024-04-04 10:00:19,13.387435,74.713884,Complainant reported being defrauded of money through a fraudulent scheme reported from Konda Road.
3,400110077202200001,202200001,2022-11-19,1015,77,3,2,10,58,6,113,2022-11-16 18:30:32,2022-11-16 19:52:32,2022-11-17 05:08:32,12.868914,74.850745,Case registered against the accused for a traffic-related violation near Dewan Ganj.
4,100310193202300001,202300001,2023-10-22,2469,193,1,2,9,51,3,39,2023-10-21 17:41:21,2023-10-21 18:19:21,2023-10-21 20:58:21,15.243288,76.43758,Complainant reported an incident related to unlawful activities near Chahal Zila.
5,300100066202500001,202500001,2025-08-05,1483,66,2,1,10,55,5,5,2025-07-30 17:24:41,2025-07-31 00:14:41,2025-07-31 02:52:41,14.228462,76.437082,Complainant reported an incident related to hit and run near Sami.
6,100110073202200001,202200001,2022-12-05,2447,73,1,2,3,18,4,97,2022-12-03 09:06:32,2022-12-03 15:45:32,2022-12-05 00:38:32,12.896923,74.903003,Complainant reported being harassed by the accused near Balan Nagar.
7,100050032202600001,202600001,2026-09-02,1922,32,1,2,3,23,1,50,2026-08-28 14:15:28,2026-08-28 19:32:28,2026-08-28 21:53:28,12.930527,77.64539,Complainant reported an incident related to acid attack near Kamdar Zila.
8,100110074202400001,202400001,2024-08-31,511,74,1,1,10,57,3,73,2024-08-24 00:08:55,2024-08-24 02:21:55,2024-08-24 04:50:55,12.865715,74.863406,Complainant reported theft of personal property from Tiwari Ganj.
9,100030018202600001,202600001,2026-02-08,406,18,1,2,3,19,1,86,2026-02-01 01:59:01,2026-02-01 05:36:01,2026-02-01 11:17:01,15.893935,74.533455,Complainant reported the suspicious death of the victim linked to dowry harassment at Bala.
10,100250156202500001,202500001,2025-02-23,1234,156,1,2,3,17,4,32,2025-02-14 22:57:05,2025-02-14 23:11:05,2025-02-15 15:23:05,13.91865,75.58587,Complainant reported a sexual assault by the accused near Issac Circle.
11,100020011202200001,202200001,2022-11-20,2738,11,1,2,7,45,5,22,2022-11-18 16:36:15,2022-11-18 22:48:15,2022-11-19 00:13:15,15.159442,76.875201,Complainant reported an incident related to social media impersonation near Saini Circle.
12,400160103202500001,202500001,2025-07-01,3161,103,3,2,6,34,1,86,2025-06-23 12:24:23,2025-06-23 14:38:23,2025-06-24 15:34:23,14.791599,75.396612,Complainant reported being cheated of money through false promises near Sen Ganj.
13,100040027202600001,202600001,2026-09-23,2225,27,1,2,6,38,2,122,2026-09-19 15:04:45,2026-09-19 21:46:45,2026-09-19 23:34:45,13.28227,77.597207,Complainant reported an incident related to money laundering near Mall.
14,100070050202200001,202200001,2022-08-09,2468,50,1,2,13,67,4,47,2022-08-04 09:25:47,2022-08-04 13:15:47,2022-08-04 17:13:47,11.954765,76.967985,Police seized illegal liquor from the accused near Dutta Nagar.
15,100160108202300001,202300001,2023-08-14,1489,108,1,2,6,34,6,132,2023-08-09 05:02:46,2023-08-09 12:32:46,2023-08-09 23:59:46,14.757965,75.360869,Complainant reported being cheated of money through false promises near Oak Marg.
16,400250159202500001,202500001,2025-10-02,1819,159,3,1,11,59,3,20,2025-09-30 10:41:23,2025-09-30 13:51:23,2025-09-30 16:53:23,13.962368,75.578985,"Complainant, a senior citizen, reported an incident involving the accused at Dugal Road."
17,100170113202300001,202300001,2023-02-24,820,113,1,2,9,52,3,32,2023-02-16 10:58:35,2023-02-16 12:03:35,2023-02-16 14:14:35,17.314641,76.874868,Complainant reported an incident related to terrorism-related offences near Nayar Ganj.
18,100040027202600002,202600002,2026-10-31,498,27,1,2,2,16,1,52,2026-10-23 19:35:34,2026-10-23 22:08:34,2026-10-24 11:36:34,13.200933,77.600103,Complainant reported being threatened for money by the accused near Chanda Zila.
19,100250156202300001,202300001,2023-10-18,304,156,1,2,4,27,3,116,2023-10-16 10:25:45,2023-10-16 16:38:45,2023-10-16 17:35:45,13.937272,75.579881,Complainant reported that the victim was forcibly taken away by the accused from Chatterjee Marg.
20,100140092202400001,202400001,2024-08-25,2126,92,1,2,9,52,2,73,2024-08-22 10:55:03,2024-08-22 18:05:03,2024-08-22 19:22:03,15.397361,75.662673,Complainant reported an incident related to terrorism-related offences near Padmanabhan Path.
21,100260167202200001,202200001,2022-04-18,187,167,1,2,5,30,5,68,2022-04-15 09:37:09,2022-04-15 11:09:09,2022-04-15 16:59:09,13.35539,77.042146,Complainant reported an incident related to unlawful assembly near Lalla.
22,100200128202600001,202600001,2026-07-11,1394,128,1,1,13,69,1,37,2026-07-07 12:51:43,2026-07-07 16:23:43,2026-07-07 18:49:43,15.32503,76.099545,Complainant reported an incident related to prohibition act violations near Sharaf Nagar.
23,100090062202600001,202600001,2026-02-12,655,62,1,2,12,64,1,84,2026-02-11 16:29:07,2026-02-11 18:50:07,2026-02-11 22:23:07,13.298653,75.765681,Complainant reported unauthorized entry into their property at Dash Circle.
24,100290183202600001,202600001,2026-06-29,34,183,1,1,12,64,1,28,2026-06-22 12:25:32,2026-06-22 16:24:32,2026-06-22 19:13:32,16.836499,75.693334,Complainant reported unauthorized entry into their property at Brar Marg.
25,100130085202400001,202400001,2024-07-07,1529,85,1,2,5,31,5,87,2024-07-01 13:32:28,2024-07-01 20:08:28,2024-07-02 00:37:28,15.463163,75.048307,Complainant reported an incident related to affray near Memon Circle.
26,100170110202400001,202400001,2024-01-05,1226,110,1,2,6,35,5,87,2023-12-28 13:09:38,2023-12-28 20:51:38,2023-12-29 00:59:38,17.30667,76.820602,Complainant reported an incident related to criminal breach of trust near Pathak.
27,100150100202500001,202500001,2025-05-22,2391,100,1,1,9,53,5,123,2025-05-16 09:50:57,2025-05-16 16:06:57,2025-05-16 21:07:57,12.981779,76.12523,Complainant reported an incident related to waging war against the state near Handa.
28,100050036202200001,202200001,2022-09-02,3014,36,1,2,11,61,3,16,2022-08-30 17:28:20,2022-08-30 21:07:20,2022-08-30 22:35:20,12.990526,77.603756,Complainant reported an incident related to neglect of senior citizens near Bath Zila.
29,100220139202400001,202400001,2024-05-31,1010,139,1,2,9,51,5,72,2024-05-26 10:21:34,2024-05-26 13:27:34,2024-05-26 19:33:34,12.281538,76.631329,Complainant reported an incident related to unlawful activities near Mann Ganj.
